NAME_PASS,NAME_RESORT,ADDRESS_RESORT,GMAP_LINK_RESORT
Ikon,Eldora,"2861 Eldora Ski Rd, Nederland, CO 80466",https://maps.app.goo.gl/NUqSNSLLdiCjwKbD9
Ikon,Copper,"102 Wheeler Pl, Frisco, CO 80443",https://maps.app.goo.gl/WgroembCaDt3Sa4g9
Ikon,Winter Park,"85 Parsenn Rd, Winter Park, CO 80482",https://maps.app.goo.gl/eiQRHVhjjDovN7fJA
Ikon,Arapahoe Basin,"28194 US-6, Dillon, CO 80435",https://maps.app.goo.gl/SPihut43FdfRXnoS6
Ikon,Steamboat," 900 Strings Rd, Steamboat Springs, CO 80487",https://maps.app.goo.gl/pL86izXXDzEsZqFg7
Ikon,Aspen,"117 Aspen Airport Business Center, Aspen, CO 81611",https://maps.app.goo.gl/3YeBnT7tnFPv4Aq78
Epic,Breckenridge,"1599 Summit County Rd 3. Breckenridge, CO 80424",https://maps.app.goo.gl/U1g4LXmLH5xwc8gbA
Epic,Keystone,"100 Dercum Square, Keystone, CO 80435",https://maps.app.goo.gl/c79jku1RVGkQpQmC6
Epic,Crested Butte,"12 Snowmass Rd, Crested Butte, CO 81225",https://maps.app.goo.gl/6v4KJK2g4ooWmnT39
Epic,Vail,"241 E Meadow Dr, Vail, CO 81657",https://maps.app.goo.gl/oqcfHd1H6gb1KBMt8
Epic,Beaver Creek,"26 Avondale Lane Avon, CO 81620",https://maps.app.goo.gl/cQcdBFWyGdeTQ5Up8
Epic,Telluride,"565 Mountain Village Blvd, Telluride, CO 81435",https://maps.app.goo.gl/AkxbpM8GrR1L86uN6